eta_b_leading,pt_l1,pt_l2,pt_l_leading,pt_l_trailing,eta_l1,eta_l2,eta_l_leading,eta_l_trailing,pt_ll,m_ll,DeltaPhi_ll,DeltaEta_ll,pt_b_leading,pt_b_trailing,eta_b_leading,eta_b_trailing,pt_bb,m_bb,
0.706349,0.706349,0.706349,0.706349,0.706349,0.706349,0.706349,0.706349,0.706349,0.706349,0.706349,0.706349,0.706349,0.706349,0.706349,0.706349,0.706349,0.706349,0.706349,
-1.02918,333.74,374.365,374.365,333.74,-0.993415,0.0400379,0.0400379,-0.993415,697.025,401.643,0.354876,0.953377,920.712,581.332,-1.02918,2.17519,1488.18,3490.23,
0.651779,576.747,59.1565,576.747,59.1565,-0.810348,0.989544,-0.810348,0.989544,525.315,521.731,2.65076,-0.179196,1046.7,197.955,0.651779,0.0986412,1164.04,510.514,
-0.235367,492.788,122.902,492.788,122.902,0.207928,-0.498318,0.207928,-0.498318,375.285,519.346,2.88314,-0.29039,572.726,243.881,-0.235367,0.644488,466.998,755.58,
0.883005,169.147,85.8856,169.147,85.8856,-0.970695,1.07794,-0.970695,1.07794,109.758,372.165,3.744,-0.107249,308.487,43.4839,0.883005,-0.3183,265.17,277.499,
-0.817464,195.243,28.1161,195.243,28.1161,-0.614881,1.93775,-0.614881,1.93775,222.459,245.641,0.271203,-1.32287,428.17,183.301,-0.817464,1.39537,261.744,936.457,
-0.101782,265.492,829.878,829.878,265.492,0.823838,0.774803,0.774803,0.823838,741.132,806.901,2.0673,0.0490346,801.098,318.394,-0.101782,1.26634,773.723,1110.86,
-0.147466,354.043,497.224,497.224,354.043,1.05037,-0.18117,-0.18117,1.05037,391.255,934.917,2.24393,0.869201,677.204,120.114,-0.147466,-1.5798,570.219,713.449,
0.388771,51.8914,340.16,340.16,51.8914,0.752464,0.384381,0.384381,0.752464,353.974,175.572,1.37419,0.368082,591.045,406.069,0.388771,1.09225,464.255,950.625,
1.94083,110.89,45.4435,110.89,45.4435,1.20762,-2.12616,1.20762,-2.12616,99.2719,382.11,2.0344,-0.918543,220.482,179.952,1.94083,-2.04297,107.295,1484,
0.406508,145.108,25.3449,145.108,25.3449,2.43008,1.19574,2.43008,1.19574,128.469,137.485,3.92829,1.23434,316.344,90.0037,0.406508,2.25517,252.042,480.155,
-1.31734,333.401,62.4277,333.401,62.4277,-0.78888,-1.51681,-0.78888,-1.51681,305.438,273.701,4.1623,-0.727934,272.235,242.67,-1.31734,0.712729,378.67,709.577,
1.31231,106.515,26.7166,106.515,26.7166,-2.01195,-0.140685,-2.01195,-0.140685,98.2743,146.037,4.27682,1.87126,640.675,360.502,1.31231,-0.4377,288.386,1354.74,
-0.630599,70.0753,31.9059,70.0753,31.9059,-0.834911,1.27655,-0.834911,1.27655,39.5133,152.008,3.35811,-0.441636,980.629,476.97,-0.630599,0.545604,506.558,1615.39,
-0.973409,32.0969,64.1796,64.1796,32.0969,-0.845419,-0.940738,-0.940738,-0.845419,60.6578,74.8902,1.9356,-0.0953191,707.047,255.201,-0.973409,-0.389203,458.979,890.325,
0.412463,505.223,60.0469,505.223,60.0469,-0.575754,-0.823835,-0.575754,-0.823835,446.186,349.749,3.31412,-0.248081,501.99,415.562,0.412463,-0.295748,383.09,903.082,
1.4304,59.9921,191.445,191.445,59.9921,1.18073,-0.499421,-0.499421,1.18073,133.089,293.788,2.94715,0.68131,582.103,232.7,1.4304,-0.494149,363.994,1106.65,
0.686265,92.014,84.5065,92.014,84.5065,0.753716,0.20476,0.753716,0.20476,48.5121,176.66,2.59115,0.548955,521.398,398.007,0.686265,-0.358781,171.826,1034.79,
0.896892,439.54,455.371,455.371,439.54,-0.96421,-0.722611,-0.722611,-0.96421,459.556,775.508,4.21964,0.241599,422.038,91.142,0.896892,-1.04211,406.452,543.118,
1.90439,87.3375,708.641,708.641,87.3375,0.0416882,-0.508519,-0.508519,0.0416882,708.871,387.682,1.62982,-0.46683,1181.09,561.03,1.90439,-0.597747,1047.87,2967.08,
-2.10242,20.8821,61.7769,61.7769,20.8821,-1.77349,-0.473884,-0.473884,-1.77349,65.7635,70.7883,1.54273,1.2996,328.54,223.177,-2.10242,-0.357856,106.573,761.849,
1.45138,192.427,276.312,276.312,192.427,0.270836,-0.876366,-0.876366,0.270836,110.233,534.378,3.453,-0.60553,634.756,174.803,1.45138,-0.453037,785.964,760.394,
1.24307,37.7516,184.263,184.263,37.7516,1.67324,0.104954,0.104954,1.67324,151.301,217.52,3.59836,1.56829,1171.55,227.811,1.24307,-0.262184,943.994,1349.18,
0.446558,63.5113,114.313,114.313,63.5113,0.820835,0.143605,0.143605,0.820835,54.6503,179.147,2.9046,0.677231,1086,158.894,0.446558,0.0852684,1107.7,596.533,
-0.148556,166.412,21.1445,166.412,21.1445,-1.15073,0.439228,-1.15073,0.439228,167.007,134.982,1.60613,0.711501,369.038,179.674,-0.148556,-1.46722,207.299,625.716,
0.248993,54.2331,481.15,481.15,54.2331,-1.45376,0.393212,0.393212,-1.45376,467.381,430.78,1.88244,1.06055,942.907,54.8358,0.248993,-1.2422,977.169,424.955,
-1.02026,605.524,80.7164,605.524,80.7164,-0.526718,-1.07091,-0.526718,-1.07091,526.681,456.473,2.94047,-0.544195,1141.32,1091.2,-1.02026,0.667161,2116.37,2231.32,
-0.527561,202.897,47.456,202.897,47.456,-0.140381,-0.642489,-0.140381,-0.642489,155.517,202.411,3.0921,-0.502108,48.883,31.7015,-0.527561,0.432066,19.3074,88.9667,
-1.19874,481.249,991.519,991.519,481.249,-0.752903,0.456646,0.456646,-0.752903,547.051,1630.11,2.85513,0.296258,314.328,93.2728,-1.19874,0.56751,378.73,379.667,
1.25079,210.234,171.457,210.234,171.457,0.367893,1.65926,0.367893,1.65926,56.0826,459.876,2.92778,-1.29136,346.432,161.265,1.25079,0.0212438,190.102,564.683,
-0.687377,34.0046,616.401,616.401,34.0046,-0.910608,0.437272,0.437272,-0.910608,587.247,349.822,3.6679,0.473336,640.438,550.963,-0.687377,-1.78972,724.865,1176.01,
1.54905,146.239,314.601,314.601,146.239,-0.676652,-0.684592,-0.684592,-0.676652,172.715,427.253,2.96171,-0.00793999,322.605,174.43,1.54905,-0.241917,198.79,665.637,
-1.50868,120.464,132.416,132.416,120.464,-1.11879,-1.49831,-1.49831,-1.11879,15.6213,256.962,3.06193,-0.379511,487.295,210.023,-1.50868,-1.83407,281.89,647.102,
-0.0978823,362.497,365.858,365.858,362.497,-0.672747,-0.555157,-0.555157,-0.672747,6.38786,729.586,3.15651,0.11759,992.058,466.969,-0.0978823,0.625811,550.106,1445.77,
